image_path,true_label,true_class,pred_label,pred_class
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_415.jpg,3,Highway,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_1.jpg,4,Industrial,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_2146.jpg,6,PermanentCrop,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_914.jpg,0,AnnualCrop,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_944.jpg,0,AnnualCrop,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_2908.jpg,0,AnnualCrop,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_2094.jpg,7,Residential,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_2663.jpg,2,HerbaceousVegetation,9,SeaLake
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_2280.jpg,3,Highway,5,Pasture
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_1417.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_914.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_246.jpg,2,HerbaceousVegetation,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\SeaLake\SeaLake_2056.jpg,9,SeaLake,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_1459.jpg,4,Industrial,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Forest\Forest_1286.jpg,1,Forest,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\AnnualCrop\AnnualCrop_838.jpg,0,AnnualCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1465.jpg,3,Highway,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1369.jpg,3,Highway,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_958.jpg,5,Pasture,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_2167.jpg,3,Highway,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_525.jpg,2,HerbaceousVegetation,8,River
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_2226.jpg,7,Residential,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_793.jpg,8,River,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Pasture\Pasture_65.jpg,5,Pasture,1,Forest
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_1032.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_471.jpg,7,Residential,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_320.jpg,3,Highway,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\River\River_1240.jpg,8,River,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_176.jpg,2,HerbaceousVegetation,0,AnnualCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_622.jpg,4,Industrial,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_1526.jpg,2,HerbaceousVegetation,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_2126.jpg,7,Residential,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_1905.jpg,2,HerbaceousVegetation,6,PermanentCrop
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Residential\Residential_1575.jpg,7,Residential,4,Industrial
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_2406.jpg,6,PermanentCrop,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Industrial\Industrial_1237.jpg,4,Industrial,2,HerbaceousVegetation
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\HerbaceousVegetation\HerbaceousVegetation_1716.jpg,2,HerbaceousVegetation,7,Residential
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\PermanentCrop\PermanentCrop_1064.jpg,6,PermanentCrop,3,Highway
D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\data\EuroSAT_RGB\Highway\Highway_1480.jpg,3,Highway,5,Pasture
