run_id,status,error_message,lr,hidden_dim,hidden_dim2,weight_decay,activation,batch_size,epochs,decay_rate,decay_every,best_val_acc,best_val_loss,best_train_acc,best_train_loss,best_epoch,checkpoint_path,train_log_path,elapsed_seconds
run_001_lr0p003_h64_wd0_relu,ok,,0.003,64,64,0.0,relu,64,30,0.9,5,0.5972839506172839,1.190465078824832,0.8029100529100529,0.6250633857994483,30,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_001_lr0p003_h64_wd0_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_001_lr0p003_h64_wd0_relu\train_log.csv,310.20015144348145
run_002_lr0p003_h64_wd0_tanh,ok,,0.003,64,64,0.0,tanh,64,30,0.9,5,0.5659259259259259,1.2805498221479816,0.7274603174603175,0.9109551882617688,29,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_002_lr0p003_h64_wd0_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_002_lr0p003_h64_wd0_tanh\train_log.csv,332.27325224876404
run_003_lr0p003_h64_wd0p0001_relu,ok,,0.003,64,64,0.0001,relu,64,30,0.9,5,0.6029629629629629,1.1704353347825416,0.8015343915343915,0.6462157913811092,30,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_003_lr0p003_h64_wd0p0001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_003_lr0p003_h64_wd0p0001_relu\train_log.csv,466.9362850189209
run_004_lr0p003_h64_wd0p0001_tanh,ok,,0.003,64,64,0.0001,tanh,64,30,0.9,5,0.5676543209876543,1.2768307007683648,0.713015873015873,0.9552864209289555,29,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_004_lr0p003_h64_wd0p0001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_004_lr0p003_h64_wd0p0001_tanh\train_log.csv,367.30428075790405
run_005_lr0p003_h64_wd0p001_relu,ok,,0.003,64,64,0.001,relu,64,30,0.9,5,0.5982716049382716,1.1852619423100978,0.7919047619047619,0.7822099963471753,29,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_005_lr0p003_h64_wd0p001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_005_lr0p003_h64_wd0p001_relu\train_log.csv,317.4085111618042
run_006_lr0p003_h64_wd0p001_tanh,ok,,0.003,64,64,0.001,tanh,64,30,0.9,5,0.5720987654320988,1.2727630888385537,0.7198941798941799,1.0101796684424582,29,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_006_lr0p003_h64_wd0p001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_006_lr0p003_h64_wd0p001_tanh\train_log.csv,464.68016934394836
run_007_lr0p003_h128_wd0_relu,ok,,0.003,128,128,0.0,relu,64,30,0.9,5,0.6234567901234568,1.0893121953658116,0.8301587301587302,0.5535681088008578,28,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_007_lr0p003_h128_wd0_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_007_lr0p003_h128_wd0_relu\train_log.csv,626.9506838321686
run_008_lr0p003_h128_wd0_tanh,ok,,0.003,128,128,0.0,tanh,64,30,0.9,5,0.5787654320987654,1.2395791075553424,0.7611111111111111,0.817543214439715,30,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_008_lr0p003_h128_wd0_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_008_lr0p003_h128_wd0_tanh\train_log.csv,635.7747797966003
run_009_lr0p003_h128_wd0p0001_relu,ok,,0.003,128,128,0.0001,relu,64,30,0.9,5,0.6264197530864197,1.0866762368178662,0.8328571428571429,0.5730195795221683,27,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_009_lr0p003_h128_wd0p0001_relu\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_009_lr0p003_h128_wd0p0001_relu\train_log.csv,677.737913608551
run_010_lr0p003_h128_wd0p0001_tanh,ok,,0.003,128,128,0.0001,tanh,64,30,0.9,5,0.5837037037037037,1.2324042509220265,0.7519576719576719,0.86299177176523,28,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_010_lr0p003_h128_wd0p0001_tanh\best_model.npz,D:\PythonCode\Fdeeplearning\hw1_mlp_eurosat\outputs\hparam_search\run_010_lr0p003_h128_wd0p0001_tanh\train_log.csv,711.0143225193024
